InstanceName,glucose_2.0,glueminisat-2.2.5,lingeling-587f-4882048-110513,minisathackcir_minisat_2011.05.13_simp_,minisathackcontrasat_2011.03.02,minisathackEBMiniSAT_2011.03.02,minisathackLR_GL_SHR_2011.03.02,minisathackMiniSAT_2.2.0.agile.26,minisathackminisat_psm_2011.04.01,minisathackreferenceminisat_2.2.0,MPhaseSAT64,rcl_2011.04.01,RestartSAT_B95,SAT09referencesolverprecosat_236
ferry5_ks99irenamed-assat05-3994.cnf,0.01,0.01,0.08,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.07,0.02,0.01,0.02
grid-strips-grid-y-3035-NOTKNOWN.cnf,237.40,138.91,373.02,608.16,333.17,272.15,259.94,407.14,560.14,501.92,249.26,273.24,314.07,176.59
grid-strips-grid-y-4025-NOTKNOWN.cnf,18.30,9.98,17.74,18.61,16.58,11.66,12.47,14.71,11.77,11.89,27.21,14.49,6.05,19.29
gripper13ushuffled-assat03-395.cnf,5000,4009.36,1315.37,3639.00,3814.84,5000,5000,5000,5000,5000,5000,5000,5000,5000
gss-14-s100.cnf,16.01,15.00,14.78,24.70,3.30,13.93,16.51,12.30,11.63,26.86,13.24,14.73,4.75,27.75
gss-16-s100.cnf,140.12,33.52,42.26,18.01,10.97,78.03,47.36,6.12,35.34,110.05,332.23,37.27,136.62,28.01
gss-19-s100.cnf,1259.08,360.84,513.28,200.73,476.17,202.09,1441.57,280.07,369.27,376.67,38.57,240.34,1004.89,748.35
gss-21-s100.cnf,2751.73,3059.25,4137.50,2105.15,30.58,5000,5000,5000,874.54,2425.77,32.20,5000,5000,141.39
gss-22-s100.cnf,5000,2312.18,1195.16,5000,5000,5000,3520.19,5000,5000,5000,42.69,161.32,5000,5000
gss-27-s100.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
gus-md5-11.cnf,5000,4038.12,5000,2692.01,1416.56,1306.00,5000,1122.55,1252.28,2179.38,5000,1464.34,2618.44,1608.58
gus-md5-12.cnf,5000,5000,5000,5000,5000,5000,5000,4404.73,5000,5000,5000,4174.01,5000,5000
hard-18-U-10652.cnf,3.67,15.86,62.90,7.22,14.94,15.94,15.16,15.31,7.71,6.94,25.15,8.63,4.49,103.90
hard-25-U-7061.cnf,0.49,2.33,1.25,0.37,2.24,2.23,2.34,2.24,7.89,0.37,3.37,7.92,0.53,5.22
hard-6-U-7061.cnf,4.42,3.26,12.74,3.37,3.32,3.39,3.49,3.19,7.95,3.01,9.69,8.22,3.43,16.05
homer14shuffled.cnf,280.83,2194.93,537.83,697.87,737.36,2187.21,1879.16,2127.06,442.78,2050.30,295.22,577.56,2556.46,1001.34
homer16shuffled.cnf,450.95,2519.90,5000,1915.65,2574.04,3860.48,5000,3313.88,4531.25,1684.63,3428.25,5000,5000,5000
homer17shuffled.cnf,3357.53,5000,5000,3373.23,5000,5000,5000,5000,4138.94,5000,5000,5000,5000,5000
hsat_vc12062.cnf,0.64,0.32,0.77,0.53,0.32,0.32,0.35,0.34,2.02,0.95,1.25,2.03,1.38,0.81
hwmcc10-timeframe-expansion-k45-bc57sensorsp1-tseitin.cnf,0.27,0.46,3.44,0.30,0.44,0.45,0.42,0.45,0.88,0.33,3.16,0.92,0.46,0.95
hwmcc10-timeframe-expansion-k45-bobsm5378d2-tseitin.cnf,129.30,40.61,87.34,378.36,78.58,71.51,53.89,78.16,60.63,285.56,71.63,81.76,171.54,133.71
hwmcc10-timeframe-expansion-k45-bobsmhdlc2-tseitin.cnf,3213.63,556.86,2660.38,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
hwmcc10-timeframe-expansion-k45-pdtpmsgoodbakery-tseitin.cnf,474.05,134.63,134.43,5000,4875.85,473.08,957.92,506.54,515.77,2719.44,607.04,471.22,842.97,328.22
hwmcc10-timeframe-expansion-k45-pdtpmspalu-tseitin.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,3777.79,5000,5000,926.27
hwmcc10-timeframe-expansion-k45-pdtswvqis8x8p2-tseitin.cnf,3.19,2.03,8.11,3.80,1.96,1.48,1.61,2.24,2.22,2.84,5.34,2.13,3.94,3.46
hwmcc10-timeframe-expansion-k45-pdtswvrod6x8p1-tseitin.cnf,9.11,5.76,13.23,15.02,4.47,4.31,4.24,4.61,5.56,12.03,7.18,5.91,10.53,8.96
hwmcc10-timeframe-expansion-k45-pdtswvtms14x8p1-tseitin.cnf,12.26,3.15,9.31,13.66,3.76,3.44,3.99,3.14,3.59,13.92,6.62,3.98,17.87,6.37
hwmcc10-timeframe-expansion-k45-pdtviseisenberg1-tseitin.cnf,35.36,28.12,37.58,184.38,154.48,33.07,79.12,57.12,47.37,73.54,5000,36.16,165.99,95.62
hwmcc10-timeframe-expansion-k45-pdtvisns3p02-tseitin.cnf,5000,4831.59,2105.51,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
hwmcc10-timeframe-expansion-k45-pdtvissoap1-tseitin.cnf,552.09,174.29,139.69,5000,4128.32,5000,641.80,2511.69,1595.47,5000,588.13,4124.39,3932.55,547.91
hwmcc10-timeframe-expansion-k50-bc57sensorsp2-tseitin.cnf,0.67,0.64,3.69,0.62,0.69,0.65,0.63,0.68,1.38,0.89,3.32,1.49,0.86,1.54
hwmcc10-timeframe-expansion-k50-bc57sensorsp3-tseitin.cnf,0.46,0.65,3.95,0.39,0.61,0.64,0.66,0.66,1.04,0.46,3.58,1.08,0.71,1.40
hwmcc10-timeframe-expansion-k50-bjrb07amba2andenv-tseitin.cnf,6.81,4.88,14.35,14.33,4.62,3.81,5.83,3.69,5.02,12.13,9.44,4.40,22.08,12.76
hwmcc10-timeframe-expansion-k50-eijkbs6669-tseitin.cnf,5000,1705.62,5000,5000,5000,5000,1857.71,5000,5000,5000,5000,5000,5000,5000
hwmcc10-timeframe-expansion-k50-nusmvreactorp4-tseitin.cnf,0.05,0.48,0.57,0.05,0.48,0.46,0.48,0.47,0.76,0.05,0.16,0.78,0.07,0.11
hwmcc10-timeframe-expansion-k50-pdtpmsns2-tseitin.cnf,1791.14,357.34,303.91,5000,2742.35,2557.23,3092.39,2462.17,1148.51,4446.63,2247.77,1901.86,4025.03,1018.37
hwmcc10-timeframe-expansion-k50-pdtswvsam6x8p3-tseitin.cnf,3.29,2.19,11.41,6.03,2.36,2.42,2.30,2.19,2.69,3.43,6.31,2.90,6.99,4.59
hwmcc10-timeframe-expansion-k50-pdtviseisenberg2-tseitin.cnf,43.86,26.28,47.83,159.92,34.38,25.66,101.93,41.16,24.36,127.42,5000,126.77,132.22,84.55
hwmcc10-timeframe-expansion-k50-pdtvisns2p3-tseitin.cnf,18.11,4.94,18.88,27.67,6.68,5.12,3.90,3.41,6.05,23.10,14.60,3.12,37.53,8.23
hwmcc10-timeframe-expansion-k50-pdtvisns3p00-tseitin.cnf,5000,1937.79,806.13,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
IBM_FV_2004_rule_batch_30_SAT_datk55.cnf,65.23,2089.95,1179.41,143.52,669.09,467.17,376.45,224.45,113.96,1225.18,874.74,272.08,2027.66,458.70
IBM_FV_2004_rule_batch_30_SAT_datk80.cnf,411.06,5000,2040.43,1310.67,63.24,723.85,3309.96,45.02,165.85,1298.30,549.92,669.73,970.01,681.78
ibm-2002-21r-k95.cnf,29.04,24.73,47.83,28.64,9.49,12.28,15.69,9.44,13.15,15.59,30.58,14.04,29.64,9.13
ibm-2002-30r-k85.cnf,626.36,5000,394.40,380.98,1256.69,422.09,5000,35.91,298.46,357.58,808.85,802.53,459.72,193.14
ibm-2004-01-k90.cnf,2.06,27.86,38.49,9.21,12.56,15.22,39.19,16.49,8.22,1.96,16.65,18.81,41.41,11.23
ibm-2004-23-k100.cnf,532.12,407.94,308.43,579.49,72.64,60.82,407.36,75.73,132.30,441.63,260.01,193.69,831.95,144.50
k2fix_gr_rcs_w8shuffled.cnf,1298.34,5000,14.86,5000,5000,5000,5000,5000,5000,5000,3.42,5000,5000,5000
k2fix_gr_rcs_w9shuffled.cnf,14.00,36.14,228.23,91.90,81.61,74.70,65.49,96.78,38.80,143.24,66.18,48.81,215.89,120.40
k2mulmitershuffled-assat03-355.cnf,1469.14,1007.96,1583.37,5000,5000,5000,4055.07,5000,2248.39,5000,5000,5000,5000,5000
korf-15.cnf,18.69,24.77,38.05,32.08,32.37,19.45,236.04,20.54,28.30,20.33,13.67,22.66,5.73,11.39
korf-17.cnf,379.18,439.82,823.78,1235.24,738.29,463.65,5000,399.77,566.04,626.58,853.86,4141.92,368.31,681.78
korf-18.cnf,5000,5000,2349.59,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,3367.58
li-exam-61shuffled-assat03-366.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
li-test4-100shuffled-assat03-370.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
manol-pipe-c10nidw.cnf,1709.09,203.82,316.29,5000,553.07,234.28,397.39,289.78,135.78,5000,199.83,200.00,5000,379.72
manol-pipe-c6bidw_i.cnf,90.76,17.78,29.75,155.49,23.33,16.50,25.91,17.82,12.60,100.25,40.44,12.19,121.73,27.04
manol-pipe-f7idw.cnf,47.25,16.05,29.71,91.01,73.85,171.32,16.67,619.53,253.80,88.80,81.93,1151.62,72.47,23.07
manol-pipe-f7nidw.cnf,67.64,23.52,34.96,81.17,59.38,65.05,21.07,5000,224.70,97.36,48.44,124.18,102.94,28.84
maxor128.cnf,5000,4515.90,1770.38,5000,5000,5000,3894.24,5000,5000,5000,3070.90,5000,5000,2026.74
maxxor032.cnf,969.42,49.02,134.47,444.33,314.31,1595.77,233.47,1686.61,1311.25,4670.30,4104.82,3392.95,694.73,74.25
maxxor064.cnf,5000,789.71,1583.74,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,1702.87
maxxor128.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
maxxororand064.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
md5_48_3.cnf,4620.63,5000,102.32,19.77,326.43,245.71,5000,45.00,91.58,96.14,185.23,162.60,84.88,195.84
minandmaxor016.cnf,0.28,0.17,0.89,0.28,0.18,0.14,0.27,0.14,0.21,0.27,0.79,0.26,0.29,0.26
minandmaxor128.cnf,5000,2864.56,4059.28,5000,5000,5000,2047.49,5000,5000,5000,5000,5000,5000,2199.27
minxorminand128.cnf,5000,2280.94,3274.23,5000,5000,1396.23,988.95,1698.46,5000,1420.44,5000,5000,2887.30,2147.13
mizh-sha0-36-2.cnf,5000,2298.48,420.33,226.37,3608.42,57.79,5000,1197.56,991.14,14.63,311.16,1059.80,15.90,5000
mizh-sha0-36-4.cnf,66.53,5000,78.62,55.75,38.69,65.44,5000,556.32,362.52,103.50,339.86,210.49,3144.60,5000
mulhs016.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
myciel6-trused-assat04-320.cnf,5000,5000,5000,5000,5000,5000,5000,4786.53,5000,5000,856.46,5000,5000,5000
ndhf_xits_19_UNKNOWN.cnf,1173.84,458.31,37.47,17.80,143.51,1389.55,36.44,1732.51,5000,217.64,16.76,5000,166.70,1444.77
openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1025-NOTKNOWN.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1035-NOTKNOWN.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1045-NOTKNOWN.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
