Instance,claspfolio
sat/ae_rphp075_04.cnf,568.6790
sat/factoring54018521x562448657.cnf,47.5540
sat/ex051_9.cnf,50000.0000
sat/ae_rphp062_05.cnf,865.9860
sat/20180326_095804286_p_cnf_320_1120.cnf,1.4400
sat/mod8-bbd-zbd.rules.7-7.cnf,50000.0000
sat/satcoin-genesis-SAT-128.cnf,3.5770
sat/satcoin-genesis-SAT-2048.cnf,3.3970
sat/dist4.c.cnf,93.0010
sat/Cake_8_16.cnf,810.5270
sat/uniqinv40prop.cnf,349.7900
sat/gto_p60c235.cnf,117.4000
sat/apn-sbox6-cut4-helpbox31.cnf,79.5550
sat/gto_p50c345.cnf,50000.0000
sat/ex025_19.cnf,50000.0000
sat/less-cy-caa.rules.6-4.cnf,119.1600
sat/8-4-10.cnf,50000.0000
sat/ae_rphp055_04.cnf,119.0190
sat/assoc2.c.cnf,50000.0000
sat/CNP-5-1500.cnf,1.6860
sat/sdiv40prop.cnf,50000.0000
sat/Problem11_label51_false-unreach-call.c.cnf,267.8770
sat/apn-sbox6-cut5-helpbox23.cnf,50000.0000
sat/mod8-abd-yad.rules.7-7.cnf,20.7430
sat/Problem14_label20_true-unreach-call.c.cnf,2.9230
sat/dist10.c.cnf,121.4440
sat/sted5_0x24204-70.cnf,50000.0000
sat/satcoin-genesis-SAT-32.cnf,1.3360
sat/CNP-5-900.cnf,24.2190
sat/apn-sbox6-cut3-helpbox23.cnf,50000.0000
sat/udiv46prop.cnf,50000.0000
sat/gto_p50c312.cnf,50000.0000
sat/frb35-17-5-mgd_ext.cnf,7.1580
sat/gto_p60c231_1.cnf,53.9990
sat/bibd-19-57-9-3-1_glb.cnf,0.3610
sat/ecarev-110-4099-22-30-7.cnf,104.8300
sat/gto_p60c238.cnf,120.1030
sat/10-4-10.cnf,50000.0000
sat/ex065_24.cnf,50000.0000
sat/ecarev-110-1031-23-40-6.cnf,447.4280
sat/CNP-5-1400.cnf,1.4990
sat/full-ax-xa.rules.7-7.cnf,51.4560
sat/cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18.cnf,0.5680
sat/sted5_0x0-60.cnf,328.4710
sat/cms-scheel-md4-families-r24-c5-p5-13-16-17-19.cnf,169.5560
sat/le450_15b.col.15.cnf,0.3370
sat/course0.16_2018_3_5.cnf,532.7050
sat/satcoin-genesis-SAT-512.cnf,18.9420
sat/apn-sbox6-cut4-helpbox26.cnf,213.8760
sat/filter_iir_true-unreach-call.c.cnf,293.6830
sat/20180326_095801070_p_cnf_320_1120.cnf,0.6400
sat/apn-sbox6-cut3-helpbox28.cnf,306.1450
sat/quadratic_loose_error.c.cnf,12.4970
sat/huck.col.11.cnf,0.0110
sat/20180321_140827428_p_cnf_320_1120.cnf,0.0300
sat/cz-alt-3-7.cnf,1647.6870
sat/20180322_164226378_p_cnf_320_1120.cnf,0.0410
sat/20180322_164241329_p_cnf_320_1120.cnf,0.3550
sat/sted5_0x0-70.cnf,50000.0000
sat/20180322_164223076_p_cnf_320_1120.cnf,3.9300
sat/5or7mod8.rules.7-7.cnf,50000.0000
sat/le450_15c.col.15.cnf,22.5470
sat/ax-d-4-7-5.cnf,50000.0000
sat/e_rphp065_04.cnf,306.0780
sat/TimetableCNFEncoding_20_UNKNOWN.cnf,11.8540
sat/udiv45prop.cnf,50000.0000
sat/gto_p60c233.cnf,71.6330
sat/factoring39916801x54018521.cnf,37.2630
sat/queen13_13.col.13.cnf,29.2900
sat/TimetableCNFEncoding_8_UNKNOWN.cnf,50000.0000
sat/ex157_10.cnf,109.6510
sat/sdiv30prop.cnf,50000.0000
sat/apn-sbox6-cut3-helpbox29.cnf,203.8230
sat/course0.12_2018_3_1.cnf,299.5330
sat/ecarev-110-4099-22-30-5.cnf,165.2520
sat/avg_true-unreach-call.i.cnf,101.1550
sat/mchess_18.cnf,35.0040
sat/bibd-16-80-15-3-2_glb.cnf,1.0770
sat/ae_rphp095_04.cnf,507.0540
sat/sted1_0x0-350.cnf,50000.0000
sat/ex145_10.cnf,50000.0000
sat/TimetableCNFEncoding_9_UNKNOWN.cnf,50000.0000
sat/pals_floodmax.5_overflow_false-unreach-call.ufo.UNBOUNDED.pals.c.cnf,3094.1620
sat/cz-d-4-7-5.cnf,982.1000
sat/TimetableCNFEncoding_3_UNKNOWN.cnf,289.4270
sat/ae_rphp045_05.cnf,1871.1010
sat/7-5-6.cnf,50000.0000
sat/20180321_110707239_p_cnf_320_1120.cnf,5.5490
sat/Nb11T118.cnf,50000.0000
sat/newton_3_6_false-unreach-call.i.cnf,55.5420
sat/a_rphp085_04.cnf,643.9560
sat/CNP-5-1100.cnf,1.6230
sat/cms-scheel-md5-families-r24-c7-p1-5-6-12-16-18-19.cnf,85.4210
sat/apn-sbox6-cut5-helpbox29.cnf,222.5330
sat/20180321_110706599_p_cnf_320_1120.cnf,0.9760
sat/cms-scheel-md5-families-r24-c6-p1-4-6-13-14-18.cnf,403.2680
sat/gto_p60c241.cnf,48.7720
sat/course0.2_2018_3.cnf,615.0410
sat/a_rphp045_05.cnf,1706.1820
sat/ae_rphp035_05.cnf,274.4580
sat/uniqinv30prop.cnf,472.9450
sat/ex009_10.cnf,259.0660
sat/ecarev-110-1031-23-40-2.cnf,95.8710
sat/Cake_9_19.cnf,50000.0000
sat/apn-sbox6-cut4-helpbox29.cnf,341.4670
sat/course_flat_0.12_2018_3_1.cnf,839.8430
sat/filter1_true-unreach-call.c.cnf,131.4030
sat/CNP-5-1200.cnf,1.5010
sat/ramsey-32-4.cnf,2.9590
sat/exam0.04_2018_3.cnf,612.9100
sat/gto_p60c231.cnf,29.8540
sat/satcoin-genesis-SAT-7.cnf,0.9450
sat/uniqinv45prop.cnf,612.9770
sat/satcoin-genesis-SAT-3.cnf,0.3370
sat/ad-A-3-7-17.cnf,3501.5750
sat/queen8_8.col.9.cnf,50000.0000
sat/9-4-9.cnf,50000.0000
sat/sted5_0x24204-50.cnf,25.6680
sat/lei450-05b-05.cnf,0.1780
sat/Problem14_label14_false-unreach-call.c.cnf,60.3910
sat/sted5_0x1e3-40.cnf,50000.0000
sat/Nb8T63.cnf,10.3250
sat/full-by-za.rules.5-7.cnf,204.9410
sat/course0.12_2018_3_5.cnf,50000.0000
sat/commutativity.c.cnf,50000.0000
sat/less-cy-caa.rules.4-9.cnf,5.4330
sat/assoc_mult_err_3.c.cnf,31.6610
sat/20180321_140824282_p_cnf_320_1120.cnf,1.0150
sat/ramsey-30-4.cnf,0.4160
sat/mchess_17.cnf,0.0630
sat/6-4-7.cnf,50000.0000
sat/a_rphp055_04.cnf,138.3240
sat/Nb13T166.cnf,2.4900
sat/CNP-5-1600.cnf,1.9100
sat/magicSquare-8_glb.cnf,9.4560
sat/apn-sbox5-cut5-symmbreak.cnf,1939.2180
sat/satcoin-genesis-SAT-8.cnf,0.6900
sat/cms-scheel-md4-families-r24-c5-p1-5-10-12-18.cnf,0.3050
sat/ae_rphp056_05.cnf,930.8870
sat/sted5_0x24204-60.cnf,50000.0000
sat/20180321_140826713_p_cnf_320_1120.cnf,0.5500
sat/mchess_15.cnf,0.0050
sat/gto_p50c345_1.cnf,50000.0000
sat/sted1_0x0-380.cnf,50000.0000
sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf,4.2940
sat/sted5_0x1e3-60.cnf,50000.0000
sat/6-3-8.cnf,29.2530
sat/10-3-13.cnf,437.1640
sat/cms-scheel-md4-families-r24-c5-p0-5-11-13-18.cnf,94.8990
sat/CNP-5-1900.cnf,1.7200
sat/Nb8T61.cnf,0.9200
sat/queen15_15.col.15.cnf,50000.0000
sat/sted1_0x1e3-200.cnf,50000.0000
sat/udiv48prop.cnf,4943.1930
sat/apn-sbox5-cut3-symmbreak.cnf,50000.0000
sat/cms-scheel-md4-families-r24-c8-p2-3-4-5-7-12-16-19.cnf,10.0080
sat/by-X-2-7-100.cnf,660.1800
sat/uniqinv46prop.cnf,1647.1230
