94.14,5000,214.31,540.51,505.85,5000,5000
71.5,5000,3045.58,5000,713.98,5000,5000
136.69,5000,5000,5000,5000,5000,5000
62.19,5000,5000,5000,5000,5000,5000
37.12,5000,4317.58,5000,5000,5000,5000
60.85,5000,5000,5000,5000,5000,5000
44.61,5000,5000,5000,5000,5000,5000
26.1,5000,5000,5000,5000,5000,5000
12.58,5000,2745.01,1959.24490533894,5000,5000,5000
20.09,5000,5000,5000,2172.8,5000,5000
16.78,25.9,14.44,35.53,68.6,5.89,2.52
5000,5000,3026.5373952847,540,687.62,5000,4997.57
5000,5000,5000,5000,5000,5000,5000
1.98,0.82,1.33,11.48,6.64,609.73,0.77
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
19.66,2.49,1,1.11,24.97,25.14,1.79
544.67,430.86,5000,5000,5000,5000,5000
1.45,4.7,5000,5000,5000,2055.01,1.27
223.2,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
3.1,6.42,4759.36924705118,4508.31,2930.16,49.97,68.1
62.8433444526455,5000,5000,5000,5000,2246.41,5000
2811.45,5000,5000,5000,5000,5000,5000
4577.95,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
162.82,13.28,34.54,160.9,113.28,27.71,14.9
35.73,15.99,2.67,92.07,83.21,365.84,9.21
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
153.87,5000,5000,1595.7,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
33.62,21.71,9.95,41.64,48.17,5000,12.25
0.26,0.85,0.1,5.93,6.89,10.72,0.21
0.48,5000,5000,5000,5000,5000,5000
4.25,0.47,0.19,0.57,0.17,5000,2.37
2.58,5000,5000,5000,5000,5000,5000
0.15,0.03,0.02,4.89,5.54,12.28,0.12
0.85,1.25,0.15,2.66,3.25,5000,3.55
2.63,3913.75,5000,5000,5000,5000,2966.07
2.47,5000,5000,5000,72.02,5000,5000
5000,5000,5000,5000,5000,5000,5000
101.14,0.99,1.41,16.47,98.32,1.41,2.75
24.76,0.19,18.2,131.34,7.65,1.26,0.34
0.17,0.04,0.05,6.28,5.45,38.29,0.08
66.12,0.31,0.28,1.44,14.91,1.12,1.21
2000.04,1.79,2.21,50.21,65.53,10.35,17.54
5000,5000,5000,2137.18,5000,5000,5000
108.15,2206.2,32.6,24.22,19.57,60.82,91.84
2.44,165.3,5000,1074.35,8.83,5000,0.06
2.99,0.32,73.09,309.24,827.73,5000,0.96
3.75,5000,5000,5000,5000,5000,5000
1.08,78.91,4606.11,5000,5000,5000,5000
39.47,122.32,23.96,53.38,53.78,7.27,35.67
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
1.81,5000,1232.02,732.43,5000,5000,5000
0.95,5000,5000,5000,71.21,5000,801.52
0.12,0,39.08,60.94,0.35,552.91,0.02
69.78,933.37,127.55,541.85,1467.89,1859.98,4971.5
2.87,21.41,2.7,10.44,5000,3.16,0.67
1.91,0.3,1.35,1.33,13.69,1.47,0.45
2.14,0.73,1.42,1.42,5000,1.65,0.48
2.24,0.42,1.44,1.43,13.89,2.29,0.51
5000,5000,5000,5000,5000,5000,5000
22.69,10.43,10.36,120.14,64.69,7.77,11.03
229.23,22,35.95,47.46,50.94,7.7,3.41
202.66,887.27,576.47,223.18,176.77,909.41,13.31
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
48.7882935730799,3.58,45.29,74.74,71.39,8.62,5.89
3.72,1.88,0.2,6.41,6.26,2.04,0.56
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,1230.81,5000
5000,401.43,1367.91,864.96,99.69,5000,10.67
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,27.8698062666598,5000,4998.55
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
0.93,0.96,1.4,0.68,0.8,0,0.94
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
1.19,0.78,0.36,0.47,0.41,7.71,1.43
1.2,1.3,0.42,0.56,0.48,12.6,2.34
0.79,0.69,0.26,0.33,0.32,10.32,0.99
1.11,1.3,0.54,0.84,0.59,26.72,2.21
1.06,1.02,0.45,0.61,0.64,4.56,1.95
0.71,0.34,0.22,0.26,0.25,9.69,0.49
0.77,1.04,0.4,0.49,0.36,10.32,1.87
0.45,0.35,0.22,0.25,0.27,3.71,0.6
0.75,0.56,0.31,0.39,0.31,3.96,0.84
1.18,0.94,0.36,0.38,0.41,14.43,1.53
1.11,0.73,0.3,0.37,0.44,12.07,1.52
1.14,0.67,0.29,0.35,0.39,4.94,1.23
2.1,5.21,6.44,7.19,2.83,62.69,2.17
2.13,0.84,0.46,1.08,23.05,0.33,2.2
5000,243.97,116.57,103.87,110.26,88.26,162.7
5000,5000,3600.68464210152,893.02,983.88,3089.18796165344,3260.52
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000
36.04,2.1,0.92,8.84,8.3,0.49,1.37
5000,53.65,36.1,50.32,46.03,19.66,43.15
114.605748776401,6.78,2.54,9.57,16.23,791.55,5.78
47.27,7.84,1.75,218.08,43.13,165.03,3.99
1.22,0.36,1,1.13,3.14,0.25,1.25
5000,65.85,68.09,146.75,151.24,5000,66.49
5000,35.8,53.39,87.19,116.96,5000,34.25
5000,323.72,3081.4,1458.49,1464.85,5000,89.04
5000,36.66,42.5,95.52,86.2,437.25,46.71
5000,28.29,14.74,85.8,147.89,27.73,32.99
5000,36.05,31.57,123.8,71.85,406.77,30.51
5000,21.7,23.46,90.27,70.07,44.53,23.94
5000,881.82,5000,4335.20631513045,1304,5000,38.24
