abcdsat_r18,CaDiCaL,Candy,cms55-main-all4fixed,COMiniSatPS_Pulsar_drup,expGlucose,expMC_LRB_VSIDS_Switch,expMC_LRB_VSIDS_Switch_2500,expMC_VSIDS_LRB_Switch_2500,GHackCOMSPS_drup,glu_mix,glucose4.2.1,Glucose_Hack_Kiel_fastBVE,glucose-3.0_PADC_10,glucose-3.0_PADC_3,glucose3.0,gluHack,inIDGlucose,Lingeling,Maple_CM,Maple_CM_Dist,Maple_CM_ordUIP,Maple_CM_ordUIP+,Maple_LCM_M1,Maple_LCM_Scavel_200_fix2,Maple_LCM_Scavel_fix2,Maple_LCM+BCrestart,Maple_LCM+BCrestart_M1,MapleCOMSPS_CHB_VSIDS_drup,MapleCOMSPS_LRB_VSIDS_drup,MapleCOMSPS_LRB_VSIDS_2_fix,MapleLCMDistChronoBT,Minisat-v2.2.0-106-ge2dd095,Riss7.1-fix,smallsat,Sparrow2Riss-2018-fixfix,YalSAT
62,36.08,88.95,59.2,63.12,110.06,115.09,91.02,80.42,106.61,5000,96.7,116.36,5000,5000,5000,177.05,5000,73.71,97.42,95.82,100.12,94.86,90.55,96.54,97.76,99.72,92.06,84.05,102.4,111.79,94.15,152.55,5000,44.04,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,127.67,322.65,146.53,5000,5000,5000,5000,5000,603.72,5000,530.43,505.44,5000,5000,5000,5000,461.81,166.98,2529.21,2102.39,2538.5,2516.3,2661.87,5000,5000,2515.06,2642.98,473.34,5000,5000,2655.48,5000,382.51,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
1.79,1.09,60.45,31.29,6.13,213.08,6.74,4.36,43.04,8.93,61.64,66.66,52.72,74.28,74.66,52.31,2.65,6.8,38.13,12.55,16.6,12.6,12.34,5.41,45.2,44.01,4.21,5.43,47.38,5.94,4.8,31.67,6.77,38.58,3.31,5000,5000
0.42,0.68,5000,23.08,0.16,600.75,4.05,11.35,61.09,570.49,135.03,246.66,68.2,53.54,53.19,68.96,5000,194.25,6.09,5.21,23.18,5.21,5.28,5.91,34.26,32.93,5.32,5.9,25.33,13.77,3.91,39.63,369.79,154.8,0.34,452.3,5000
36.73,29.31,27.19,23.51,20.97,57.44,80.84,31.07,62.77,16.85,31.04,53.52,56.97,37.58,37.68,57.23,22.94,46.96,81.34,35.01,37,39.85,39.57,36.93,26.75,31.98,33.05,37.3,285.68,54.07,18.41,15.58,63.83,57.63,26.17,347.01,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,86.93,5000,279.85,5000
5000,5000,385.89,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,8.75,5000,255.32,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,306.78,5000,5000,5000,5000,5000,5000,5000,5000,57.48,5000,425.16,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,437.38,5000,5000,5000,243.16,5000,449.11,5000
19.22,61.18,178.55,67.76,41.32,70.59,48.36,40.43,171.44,44.49,42.42,44.48,50.02,58.42,58.51,49.3,44.43,43.98,276.86,47.99,49.65,49,47.88,40.32,46.86,46.96,42.5,41.49,62.56,46.73,42.12,45.67,36.02,79.13,43.87,5000,5000
5000,5000,5000,442.97,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
576.35,5000,5000,5000,5000,5000,5000,85.81,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
5000,5000,5000,516.83,5000,5000,189.7,77.62,2543.89,324.56,5000,5000,292.85,5000,5000,297.77,5000,5000,5000,129.45,53.63,5000,5000,174.63,65.24,126.5,194.27,175.67,5000,473.04,193.14,156.45,5000,5000,343.49,5000,5000
5000,5000,5000,185.38,562.8,5000,5000,249.79,2590.01,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,293.11,270.43,299.93,290.93,101.51,114.58,131.56,284.51,106.58,5000,233.04,67.41,100.92,5000,5000,271.04,5000,5000
51.09,38.48,44.13,0.05,7.23,5000,18.42,8.22,1146.13,0.14,21.88,246.75,221.98,211.54,211.4,223.71,117.57,85.54,5000,11.08,11.92,24.22,23.44,10.38,15.15,15.14,9.66,10.83,62.82,13.97,8.31,7.78,105.81,253.85,4.67,5000,5000
1.44,1.36,5000,30.6,424.58,5000,448.16,26.19,2489.2,297.25,5000,5000,5000,5000,5000,5000,5000,5000,8.42,122.54,0.58,5000,5000,84.32,57.64,117.74,0.38,84.89,0.47,0.41,76.67,52.95,5000,1.48,276.56,418.42,5000
