"InstanceName","abcdSAT_drup","BeansAndEggs","CHBR_glucose","CHBR_glucose_tuned","cmsat5_autotune2","cmsat5_main2","COMiniSatPSChandrasekharDRUP","GHackCOMSPS_DRUP","glucose","glucose_hack_kiel_newScript","Glucose_nbSat","glue_alt","glueminisat.2210.81.main","gulch","Lingelingbbcmain","MapleCMS","MapleCOMSPS_CHB_DRUP","MapleCOMSPS_DRUP","MapleCOMSPS_LRB_DRUP","MapleGlucose","Riss6","Splatz06vmain","tb_glucose","tc_glucose","YALSAT03r"
"sat/ablmulub8x16o.cnf",3533.502,3157.559,3003.414,4656.223,5000,5000,3104.459,4225.128,5009.345,4106.045,5000,5000,5000,3360.112,2497.318,3546.92,4143.394,1274.119,2307.058,1402.433,5000,5000,4391.753,3391.502,5000
"sat/ACG-20-10p0.cnf",814.568,1895.177,1248.263,1268.597,887.669,935.364,1083.934,3027.194,1366.377,2083.884,1240.939,1767.495,563.721,3177.106,607.045,981.018,733.486,522.98,454.228,1849.308,5000,668.752,1808.548,1907.19,5000
"sat/ACG-20-5p1.cnf",239.517,309.195,400.933,413.325,412.982,421.758,312.814,596.474,285.599,247.848,282.419,379.591,177.028,289.572,315.112,478.904,121.058,164.76,184.479,519.646,1947.136,245.637,396.702,403.793,5000
"sat/add_01_1000_4.smt2-cvc4.cnf",7.384,10.939,7.919,8.253,13.025,15.371,9.901,6.74,7.679,7.557,8.566,7.106,9.56,15.624,10.692,25.872,9.845,20.77,12.941,19.085,85.161,12.272,7.49,7.996,5000
"sat/aes_32_3_keyfind_2.cnf",888.827,2532.94,1345.116,1326.386,2848.215,2764.631,35.024,2417.195,274.749,1403.891,4825.768,1397.002,840.039,717.849,3372.206,139.019,99.286,241.672,88.865,806.553,2449.453,2728.497,2021.211,388.98,5000
"sat/aes_32_5_keyfind_1.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/aes_64_2_keyfind_1.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/aes_64_3_keyfind_1.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/ak016modbtsimpbisc.cnf",5000,3441.14,5000,5000,3565.842,3406.433,2548.589,2842.037,2160.791,2308.897,1912.058,1242.344,4816.962,4864.281,5000,5000,3427.71,3766.554,2190.57,5000,5000,449.448,2490.766,5000,5000
"sat/ak032diagodiagoisc.cnf",5000,5000,5000,5000,1152.807,1112.881,5000,5000,2457.489,1840.899,5000,433.345,1441.473,3829.057,33.657,5000,5000,5000,5000,5000,5000,82.791,5000,5000,5000
"sat/ak032modbtmodbtisc.cnf",5000,5000,2952.8,3027.36,3875.125,3754.844,4503.392,4965.654,3237.065,4381.899,4239.371,2647.695,2154.443,5000,5000,5000,5000,5000,5000,5000,5000,286.779,3898.074,4262.008,5000
"sat/ak032modbtsimpbisc.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/ak064boothboothisc.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/ak064diagodiagoisc.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,2126.826,5000,5000,5000,5000,5000,5000,2408.485,5000,5000,5000
"sat/ak064modasbg2asisc.cnf",810.088,5000,649.051,631.949,1197.876,1224.704,5000,0.912,5000,4.564,5000,1163.048,664.813,5000,2230.124,5000,5000,5000,5000,5000,7.72,854.228,9.465,10.552,44.282
"sat/ak064modbtmodbtisc.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/ak064paralbg2btaig.cnf",5000,5000,5000,5000,5000,5000,296.787,5000,5000,5000,5000,5000,5000,5000,2.6,5000,5000,5000,5000,5000,113.054,5000,5000,5000,5000
"sat/ak064paralparalisc.cnf",1608.861,5000,3213.018,3280.731,3267.595,3263.331,5000,5000,3157.534,4084.979,4022.709,2148.071,2813.079,5000,240.956,5000,5000,4392.047,5000,5000,5000,1058.237,3185.898,3421.55,5000
"sat/ak064simpbbg2btaig.cnf",5000,2825.2,5000,5000,5000,5000,5000,5000,1490.587,5000,4875.062,5000,5000,5000,5000,5000,5000,5000,5000,5000,251.703,943.626,5000,5000,5000
"sat/ak128astepbg2msaig.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,106.481,5000,5000,5000,5000
"sat/ak128boothbg2btisc.cnf",2673.097,2.022,3173.39,3322.588,5000,5000,5000,5000,1774.359,5000,5000,1788.587,3183.981,5000,5000,5000,1518.102,3153.733,5000,3057.56,5000,5000,2055.838,1960.034,5000
"sat/ak128boothboothisc.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/ak128diagobg2asaig.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,6.429,5000,5000,5000,5000,5000,138.953,5000,5000,5000,5000
"sat/ak128modasbg2asisc.cnf",5000,5000,1384.706,1278.144,5000,5000,5000,5000,5000,5000,5000,5000,3304.527,5000,5000,5000,5000,3748.742,5000,5000,33.199,5000,5000,5000,86.487
"sat/ak128modbtbg2msisc.cnf",4144.161,5000,4947.558,5000,5000,5000,5000,5000,3454.895,4720.965,5000,5000,5000,5000,5000,5000,5000,3166.764,5000,5000,105.422,5000,5000,5000,5000
"sat/ak128paralbg2msisc.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,33.79,5000,5000,5000,5000
"sat/ak128paralparalisc.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,3437.116,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/ak128simpbbg2msisc.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,964.839,5000,5000,2113.629,5000,5000,5000,3652.233,2627.155,5000,5000,34.62,5000,5000,5000,5000
"sat/am_7_7.shuffled-as.sat03-363.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/am_9_9.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/AProVE07-25.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/AProVE11-06.cnf",1740.913,5000,1880.593,1864.4,2197.981,2443.416,1552.332,2300.055,2527.928,2031.719,3049.549,5000,2241.313,2111.119,1525.729,2262.208,1507.749,1403.9,1206.587,2407.172,5000,4112.85,1824.061,1862.629,5000
"sat/arcfour_initialPermutation_5_32.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/arcfour_initialPermutation_6_14.cnf",290.914,280.111,217.841,215.97,148.471,147.135,239.018,195.477,203.485,221.718,210.892,181.803,240.931,231.445,242.759,333.787,229.617,273.816,191.9,384.198,869.356,247.933,245.945,251.652,5000
"sat/barman-pfile06-022.sas.ex.7.cnf",1551.621,1.21,1347.533,1344.465,31.445,29.127,1438.556,1364.369,1377.252,1229.797,1460.215,1503.481,1774.4,1429.112,6.282,30.932,1406.496,1338.554,1358.362,1341.662,882.417,26.898,1335.873,1461.058,5000
"sat/barman-pfile07-027.sas.cr.37.cnf",49.827,29.378,63.289,66.495,52.597,57.119,53.516,71.735,29.488,64.629,68.918,43.46,48.727,70.397,64.427,106.09,50.735,84.607,67.222,161.389,1008.644,92.79,54.209,52.763,5000
"sat/barman-pfile08-030.sas.cr.27.cnf",18.88,7.206,9.276,9.011,9.678,9.998,35.62,36.275,11.187,12.273,16.005,9.786,9.94,13.833,44.442,33.279,34.526,40.584,35.085,23.867,287.9,39.794,9.213,9.675,5000
"sat/barman-pfile09-036.sas.cr.33.cnf",30.748,17.993,23.36,24.381,27.962,29.187,73.943,92.302,27.025,40.312,36.86,35.704,39.196,30.881,68.7,70.563,90.479,89.697,81.295,64.238,612.902,82.087,29.369,30.184,5000
"sat/barman-pfile10-038.sas.cr.25.cnf",11.367,7.516,10.35,10.456,13.271,13.846,49.883,57.227,8.633,13.135,18.395,9.844,12.245,10.701,41.878,27.212,51.032,52.078,51.399,20.698,320.362,39.492,11.82,13.876,5000
"sat/barman-pfile10-040.sas.cr.17.cnf",4.515,3.57,3.376,3.714,6.818,6.872,24.949,33.499,3.883,3.207,8.496,3.973,5.049,3.566,14.419,10.669,25.669,25.7,25.12,8.44,215.174,24.164,3.347,3.758,5000
"sat/barman-pfile10-040.sas.cr.21.cnf",14.702,5.074,4.826,4.908,9.826,10.135,33.885,39.329,10.831,5.977,12.047,7.118,8.267,6.519,13.088,13.889,34.557,34.703,34.499,14.215,284.658,40.079,5.547,6.029,5000
"sat/C168_FW_UT_518.cnf",0.028,0.007,0.029,0.024,0.044,0.044,0.007,0.012,0.011,0.025,0.045,0.027,0.013,0.056,0.035,0.048,0.018,0.013,0.013,0.013,0.227,0.009,0.011,0.025,0.007
"sat/countbitsarray04_32.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/countbitssrl128.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/ctl_3791_556_unsat.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
