InstanceName,blind,Complementary1,Complementary2,DecStar,Delfi1,Delfi2,FDMS1,FDMS2,Metis1,Metis2,Planning-PDBs,Scorpion,symbolic-bidirectional,Symple-1,Symple-2
nurikabe_p19.pddl,1800,1800,1800,1800,431.75,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
nurikabe_p20.pddl,1800,1800,1800,1800,412.83,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
organic-synthesis_p01.pddl,1800,1800,1800,1800,1.74,2.13,1800,1800,1800,1800,1800,198.97,1800,1800,1800
organic-synthesis_p02.pddl,1800,0.78,1800,1800,1.68,1800,1800,1800,1800,1800,1800,198.79,1800,1800,1800
organic-synthesis_p03.pddl,1800,1800,1800,1800,18.26,36.34,1800,1800,1800,1800,1800,215.07,1800,1800,1800
organic-synthesis_p04.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
organic-synthesis_p05.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
organic-synthesis_p06.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
organic-synthesis_p07.pddl,1800,1800,1.51,1800,2.29,1800,1800,1800,1800,1800,1.43,1800,1800,1800,1800
organic-synthesis_p08.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
organic-synthesis_p09.pddl,1800,12.67,1800,1800,12.77,34.24,1800,1800,12.37,1800,13.25,207.71,1800,1800,1800
organic-synthesis_p10.pddl,1800,12.85,1800,11.26,12.9,35.15,1800,1800,1800,1800,13.45,207.58,1800,1800,1800
organic-synthesis_p11.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
organic-synthesis_p12.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
organic-synthesis_p13.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
organic-synthesis_p14.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,203.38,1800,3.37,3.02
organic-synthesis_p15.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
organic-synthesis_p16.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
organic-synthesis_p17.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
organic-synthesis_p18.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
organic-synthesis_p19.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
organic-synthesis_p20.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
organic-synthesis-split_p01.pddl,1800,1800,1800,1800,41.19,1800,1800,1800,1800,1800,42.66,240.19,1800,1800,1800
organic-synthesis-split_p02.pddl,1800,1800,1800,1800,43.74,1800,1800,1800,1800,1800,40.22,252.49,1800,1800,1800
organic-synthesis-split_p03.pddl,1800,52.03,1800,1800,59.39,94.18,72.73,317.81,51.38,1800,51.92,360.88,1800,1800,1800
organic-synthesis-split_p04.pddl,72,1800,1800,49.74,58.09,86.13,58.4,48.54,50,1800,51.6,313.26,1800,50.74,50.67
organic-synthesis-split_p05.pddl,46.98,56.95,1800,53.95,64.25,111.85,55.06,53.72,1800,1800,59.57,348.86,1800,58.16,55.73
organic-synthesis-split_p06.pddl,258.52,139.73,1800,143.25,160.01,210.68,146.13,142.77,130.86,1800,1800,437.45,1800,148.8,145.64
organic-synthesis-split_p07.pddl,1800,1800,1800,1800,38.37,1800,1800,1800,1800,1800,1800,229.63,1800,1800,1800
organic-synthesis-split_p08.pddl,1800,1800,1800,1800,1800,1800,1800,1800,805.14,1800,1800,1800,1800,1800,1800
organic-synthesis-split_p09.pddl,1800,44.45,1800,46.94,40.68,1800,53.72,507.56,1800,1800,1800,374.32,1800,41.38,1800
organic-synthesis-split_p10.pddl,1800,1800,1800,1800,44.75,1800,51.53,563.64,1800,1800,1800,368.91,1800,42.45,50.81
organic-synthesis-split_p11.pddl,1800,268.51,1800,1800,278.99,335.01,501.08,1219.26,278.97,1800,1800,548.65,1800,506.5,510.94
organic-synthesis-split_p12.pddl,1800,143.08,1800,127.28,149.32,206.71,260.6,1800,118.1,1800,1800,368.16,1800,265.73,267.2
organic-synthesis-split_p13.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
organic-synthesis-split_p14.pddl,1800,1800,1800,1800,57.49,88.44,1800,1800,1800,1800,1800,360.98,1800,1800,1800
organic-synthesis-split_p15.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
organic-synthesis-split_p16.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
organic-synthesis-split_p17.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
organic-synthesis-split_p18.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
organic-synthesis-split_p19.pddl,1800,1253.78,1800,257.2,53.7,516.58,640.89,1289.37,353.81,1800,1261.61,1800,1800,1800,1800
